"Time (s)","Pressure (hPa)"
4.994806780E1,9.877443848E2
4.998806509E1,9.877434082E2
5.002805670E1,9.877442017E2
5.006805639E1,9.877443848E2
5.010806108E1,9.877473145E2
5.014806212E1,9.877489014E2
5.018806030E1,9.877492676E2
5.022806889E1,9.877535400E2
5.026806358E1,9.877596436E2
5.030806493E1,9.877617798E2
5.034805816E1,9.877629395E2
5.038805389E1,9.877660522E2
5.042806082E1,9.877655029E2
5.046806030E1,9.877611694E2
5.050805978E1,9.877601929E2
5.054806639E1,9.877613525E2
5.058806592E1,9.877621460E2
5.062806540E1,9.877631226E2
5.066805905E1,9.877665405E2
5.070805556E1,9.877684937E2
5.074805926E1,9.877674561E2
5.078806238E1,9.877662354E2
5.082806212E1,9.877672119E2
5.086806514E1,9.877680054E2
5.090806650E1,9.877664795E2
5.094805848E1,9.877653809E2
5.098805571E1,9.877656860E2
5.102805650E1,9.877660522E2
5.106806728E1,9.877667236E2
5.110805978E1,9.877694092E2
5.114806134E1,9.877709351E2
5.118806676E1,9.877728882E2
5.122806816E1,9.877778931E2
5.126805613E1,9.877797241E2
5.130805858E1,9.877794189E2
5.134805535E1,9.877829590E2
5.138805384E1,9.877840576E2
5.142806264E1,9.877813721E2
5.146806030E1,9.877817993E2
5.150806186E1,9.877857666E2
5.154806681E1,9.877891846E2
5.158806644E1,9.877927246E2
5.162806639E1,9.877932129E2
5.166805759E1,9.877940674E2
5.170805332E1,9.877963257E2
5.174806134E1,9.877960205E2
5.178806004E1,9.877947998E2
5.182806134E1,9.877974243E2
5.186806483E1,9.877988892E2
5.190806717E1,9.877987061E2
5.194805993E1,9.878013916E2
5.198805624E1,9.878040771E2
5.202805712E1,9.878055420E2
5.206805952E1,9.878078613E2
5.210806056E1,9.878076782E2
5.214806264E1,9.878074951E2
5.218806535E1,9.878098145E2
5.222806431E1,9.878129272E2
5.226805441E1,9.878166504E2
5.230805723E1,9.878199463E2
5.234805952E1,9.878215332E2
5.238806056E1,9.878223877E2
5.242805978E1,9.878209229E2
5.246805926E1,9.878176270E2
5.250806483E1,9.878189697E2
5.254806571E1,9.878212280E2
5.258806780E1,9.878234863E2
5.262805551E1,9.878281860E2
5.266805759E1,9.878328857E2
5.270805749E1,9.878350220E2
5.274806238E1,9.878363647E2
5.278806004E1,9.878375244E2
5.282806571E1,9.878377686E2
5.286806405E1,9.878402710E2
5.290806509E1,9.878436279E2
5.294806670E1,9.878455811E2
5.298805853E1,9.878482666E2
5.302805441E1,9.878519287E2
5.306806186E1,9.878541260E2
5.310806186E1,9.878562012E2
5.314806342E1,9.878602295E2
5.318806519E1,9.878615723E2
5.322806660E1,9.878627319E2
5.326806410E1,9.878637085E2
5.330805446E1,9.878635254E2
5.334805514E1,9.878643188E2
5.338806004E1,9.878680420E2
5.342806160E1,9.878710327E2
5.346806082E1,9.878752441E2
5.350806754E1,9.878801270E2
5.354805644E1,9.878830566E2
5.358806540E1,9.878871460E2
5.362805509E1,9.878922119E2
5.366805655E1,9.878949585E2
5.370806446E1,9.878959351E2
5.374806082E1,9.878972168E2
5.378806108E1,9.878970947E2
5.382806582E1,9.878967285E2
5.386806743E1,9.878978882E2
5.390805686E1,9.879025879E2
5.394805785E1,9.879090576E2
5.398805775E1,9.879121704E2
5.402805926E1,9.879151001E2
