"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.258329277E1,-5.337249860E-2,-2.071537077E-1,-9.804316521E0
1.258829277E1,-5.391617864E-2,-2.073327303E-1,-9.804310799E0
1.259329277E1,-5.455763638E-2,-2.076725811E-1,-9.804299355E0
1.259829277E1,-5.473045632E-2,-2.078896910E-1,-9.804292679E0
1.260329277E1,-5.519396067E-2,-2.080837935E-1,-9.804286957E0
1.260829277E1,-5.569319800E-2,-2.082173377E-1,-9.804280281E0
1.261329277E1,-5.623309314E-2,-2.078797817E-1,-9.804286003E0
1.261829277E1,-5.676887557E-2,-2.076325417E-1,-9.804287910E0
1.262329277E1,-5.776437744E-2,-2.074894309E-1,-9.804285049E0
1.262829277E1,-5.862132832E-2,-2.075852752E-1,-9.804277420E0
1.263329277E1,-5.893449113E-2,-2.076551169E-1,-9.804274559E0
1.263829277E1,-5.919535086E-2,-2.078588009E-1,-9.804268837E0
1.264329277E1,-5.950440094E-2,-2.080334425E-1,-9.804262161E0
1.264829277E1,-5.955963582E-2,-2.082369179E-1,-9.804257393E0
1.265329277E1,-5.964805186E-2,-2.085443884E-1,-9.804250717E0
1.265829277E1,-5.985260382E-2,-2.086613774E-1,-9.804246902E0
1.266329277E1,-6.017692760E-2,-2.089100778E-1,-9.804240227E0
1.266829277E1,-6.075992808E-2,-2.088538408E-1,-9.804237366E0
1.267329277E1,-6.167042255E-2,-2.088970691E-1,-9.804230690E0
1.267829277E1,-6.282758713E-2,-2.088154107E-1,-9.804224968E0
1.268329277E1,-6.377037615E-2,-2.088810056E-1,-9.804217339E0
1.268829277E1,-6.461671740E-2,-2.090925723E-1,-9.804207802E0
1.269329277E1,-6.555989385E-2,-2.091457993E-1,-9.804200172E0
1.269829277E1,-6.617143750E-2,-2.091896683E-1,-9.804195404E0
1.270329277E1,-6.663569063E-2,-2.090213746E-1,-9.804196358E0
1.270829277E1,-6.688925624E-2,-2.088572830E-1,-9.804197311E0
1.271329277E1,-6.697325408E-2,-2.085027695E-1,-9.804204941E0
1.271829277E1,-6.687655300E-2,-2.083246857E-1,-9.804208755E0
1.272329277E1,-6.732205302E-2,-2.084857970E-1,-9.804203033E0
